FOLIO;ID_FICTICIO;FECHA_TERMINO;DURACION;VER_1;VER_2;VER_3;EDU_1_1;EDU_1_2;EDU_1_4;EDU_1_5;EDU_2_1;EDU_2_3;EDU_2_4;EDU_2_5;EDU_2_6;EDU_2_8;EDU_2_9;EDU_2_10;EDU_2_11;EDU_6_1;EDU_6_2;EDU_7_1;EDU_7_2;EDU_8;EDU_10_1;EDU_10_4;EDU_10_5;EDU_11_1;EDU_11_3;EDU_11_3_10;EDU_12_1;EDU_12_2;EDU_12_3;EDU_12_4;EDU_12_5;EDU_12_6;EDU_12_7;EDU_12_8;EDU_12_9;EDU_12_10;EDU_12_11;EDU_12_12;EDU_12_13;EDU_12_14;EDU_12_15;EDU_12_16;EDU_12_17;EDU_12_18;EDU_12_19;ECR_1;ECR_4_1;ECR_4_2;ECR_4_3;ECR_4_4;ECR_4_5;ECR_4_6;ECR_4_7;ECR_5;EMP_1;EMP_2;EMP_3A_0;EMP_3A_1_1;EMP_3A_1_2;EMP_3A_2;EMP_3A_3;EMP_3A_4;EMP_3A_5;EMP_3A_8;EMP_3A_9;EMP_3A_32;EMP_3A_33;EMP_3A_34;EMP_3A_35;EMP_3A_44;EMP_3A_45;EMP_3A_46;EMP_3A_47_1;EMP_3A_47_2;EMP_3A_47_3;EMP_3A_47_4;EMP_3A_47_5;EMP_6_1;EMP_7_1;EMP_7_2;EMP_7_3;EMP_7_4;EMP_7_5;EMP_7_6;EMP_7_7;EMP_7_8;EMP_7_9;EMP_7_10;EMP_7_11;EMP_7_12;EMP_7_13;EMP_7_14;EMP_7_15;EMP_7_16;EMP_7_17;EMP_7_18;EMP_7_19;EMP_8_1;EMP_9_1;EMP_9_2;EMP_9_3;EMP_9_4;EMP_9_5;EMP_9_6;EMP_9_7;EMP_9_8;EMP_9_9;EMP_9_10;EMP_9_11;EMP_9_12;EMP_9_13;GEN_0;GEN_1;GEN_2_1;GEN_2_2_1;GEN_2_2_2;EMP_3B_1;EMP_3B_2;EMP_3B_3;EMP_3B_4;EMP_3B_5;EMP_3B_8;EMP_3B_9;EMP_3B_44;EMP_3B_45;EMP_3B_46;EMP_3B_47_1;EMP_3B_47_2;EMP_3B_47_3;EMP_3B_47_4;EMP_3B_47_5;EMP_3B_48;EMP_3C_0;EMP_3C_1;EMP_10A_1;EMP_10B_0;EMP_10B_1;EMP_10B_2;EMP_10B_4;EMP_10B_5;EMP_10B_8;EMP_10B_9;EMP_10B_44;EMP_10B_45;EMP_10B_46;EMP_11_1;EMP_11_2;EMP_11_3;EMP_11_4;EMP_11_5;EMP_11_6;EMP_11_7;EMP_11_8;EMP_11_9;EMP_11_10;EMP_11_11;GEN_5_1;GEN_5_1_0;GEN_3_1_1;GEN_3_1_2;GEN_3_1_3;GEN_3_1_4;GEN_3_1_5;GEN_3_1_6;GEN_3_1_7;GEN_3_1_8;MOB_1A_1;MOB_1B_1;MOB_1B_2;MOB_1B_3;MOB_1B_6_1;MOB_1B_6_2;MOB_1B_6_3;MOB_1B_6_4;MOB_1B_6_5;MOB_1B_6_6;MOB_1B_6_7;MOB_1B_6_8;MOB_1B_6_9;MOB_1C_1;MOB_1C_2;MOB_1C_3;MOB_1C_6_1;MOB_1C_6_2;MOB_1C_6_3;MOB_1C_6_4;MOB_1C_6_5;MOB_1C_6_6;MOB_1C_6_7;MOB_1C_6_8;MOB_1C_6_9;MOB_4A_1;MOB_4A_2;MOB_4A_3;MOB_4A_4;MOB_5_1;MOB_6;MOB_7_1;MOB_7_2;MOB_7_3;MOB_7_4;MOB_7_5;MOB_7_6;MOB_7_7;CAR_1_1;CAR_1_2;CAR_1_3;CAR_1_4;CAR_3_1;CAR_3_2;CAR_3_3;CAR_3_4;CAR_3_5;CAR_3_6;CAR_3_7;CAR_3_8;CAR_3_9;CAR_3_10;CAR_3_11;CAR_5_1;CAR_6_1;CAR_6_2;CAR_6_3;CAR_6_4;CAR_6_5;CAR_6_6;CAR_6_7;CAR_6_8;CAR_6_9;CAR_6_10;CAR_6_11;CAR_6_12;CAR_7_1;CAR_8_1;CAR_8_2;CAR_9_1;CAR_10_1;CAR_13_1;CAR_14_1;CAR_15_1;CAR_16_1_1;CAR_16_1_2;CAR_16_1_3;CAR_16_1_4;CAR_16_1_5;CAR_16_1_6;CAR_16_1_7;CAR_16_1_8;CAR_17_1_1;CAR_17_1_2;CAR_17_1_3;CAR_17_1_4;CAR_17_1_5;CAR_17_1_6;CAR_17_1_7;CAR_17_1_8;CAR_18_1_1;CAR_18_1_2;CAR_18_1_3;CAR_18_1_4;CAR_18_1_5;CAR_18_1_6;CAR_19_1_1;CAR_19_1_2;CAR_19_1_3;CAR_19_1_4;CAR_19_1_5;CAR_19_1_6;CVD_1_1;CVD_2_1;CVD_2_2;CVD_3_1_1;CVD_3_1_2;CVD_3_1_3;CVD_3_1_4;CVD_3_1_5;CVD_3_1_6;CVD_3_1_7;CVD_3_1_8;CVD_3_1_9;CVD_3_1_10;PER_1_1;PER_1_2;PER_2_1;PER_3_2;PER_4_1;PER_5A_1;PER_5A_2;PER_5A_3;PER_5B_1;PER_6_1;PER_7_1;PER_7_2;PER_7_3;PER_7_4;PER_8_1;PER_8_2;PER_8_3;PER_8_4;PER_8_5;FACT;IMP_DATOS;ÍNDCONOCIMIENTOSDOCTORADO;ÍNDCONOCIMIENTOSEMPLEO;ÍNDDOCTORADO;ÍNDEMPLEOSATISFACCIÓN;ConDocCategorica;ConEmpleoCategorica;AfirDocCategorica;SatEmpleoCategórica
343541604;6213;15-03-2023;0d 0h:34m;1;1;1;Universidad Católica del Norte;centro de biotecnología;América Latina y el Caribe;;Ciencias naturales, matemáticas y estadística;;;;Ciencias biológicas y afines;;;;;(1999,2000];2;(2000,2009];2;2;1;1976;Argentina;3;;;4;4;3;4;4;3;4;4;4;5;999;5;4;5;4;5;3;5;5;1;Ciencias naturales;Ciencias biológicas (se excluyen las ciencias médicas y de la agricultura);;;;;;18;1;5;1;1;1;2004;;Chile;Antofagasta;3;1;1;0;;;1;1;44;70;10;10;10;;3;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;2;4;4;4;4;4;4;4;4;4;4;4;3;3;1;5;1;4;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;4;4;3;2;2;1;3;3;4;5;1;11;Vivir y trabajar en región;;;;1;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;3;;;;;;;;;1;1;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;1;2;1;;30;2;;4;2;6;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.79;0.98;0.58;0.96;3;3;2;3
343955890;11978;28-03-2023;0d 0h:27m;1;1;1;University of Otago;Department of Zoology;Asia oriental y el Pacífico;;Ciencias naturales, matemáticas y estadística;;;;Ciencias biológicas y afines;;;;;(2009,2020];1;(2009,2020];2;1;1;2008;Chile;1;2;;4;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;4;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;4;4;2;2;5;1;5;2;3;5;1;11;Una vez me discriminaron por decir que mi trayectoria era insuficiente;;;;;;;;;1;999;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;3;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;2;2;2;2;1;1;1;2;2;2;;12;2;;4;1;0;0;1;1;2;2;2;2;2;2;MEC;1;2;2;2;2;2;2;;5;5;5;5;5;5;4;5;5;5;4;3;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;(1969,1979];Metropolitana;1;Chile;;;2;1;0;3;1;0;1;1;1;1;1;8.4;2;0.96;1;0.62;0;3;3;2;1
344195076;13758;05-04-2023;0d 0h:47m;1;1;1;UDD;Educación;Chile;Metropolitana;Agricultura, silvicultura, pesca y veterinaria;;;;;;Veterinaria;;;(2000,2009];1;(2009,2020];1;2;2;2004;Chile;4;;;5;3;4;5;2;5;5;3;999;5;4;3;5;5;4;5;999;5;5;1;;;;;;;;999;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;4;4;4;2;3;1;4;2;3;5;1;11;Título profesional de origen;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;3;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;2;2;;23;2;;4;2;0;0;1;1;1;1;2;2;2;2;;1;1;2;2;2;2;2;;5;5;5;5;5;5;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;(1969,1979];Ohiggins;1;Chile;;;2;1;0;2;0;0;1;1;1;1;1;8.4;2;0.77;0.87;0.6;0.85;3;3;2;3
344201913;7749;06-04-2023;0d 0h:22m;1;1;1;UTFSM;Departamento de Informática;Chile;999;Tecnologías de la información y la comunicación (TIC);;;;;;;;;(2000,2009];1;(2009,2020];2;2;2;2002;Chile;1;10;Beca interna de la institución;5;3;999;2;2;2;999;5;999;5;5;4;999;4;4;5;4;3;2;2;;;;;;;;;1;6;1;1;1;2004;;Chile;Valparaíso;3;1;2;;1;;1;1;45;40;40;20;;;3;5;4;5;4;3;2;5;5;5;4;5;4;5;5;5;5;4;4;4;2;3;1;4;3;2;4;4;4;4;4;4;3;4;1;1;2;4;3;1;2;2015;Chile;Valparaíso;3;1;3;2;4;;100;;;;2;;;2;;;;;;;;;;;4;4;4;2;3;1;4;2;3;5;1;11;Título profesional de origen;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;3;;;;;;;;;1;1;2;2;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;2;2;;23;2;;4;2;0;0;1;2;1;2;2;2;2;1;;2;1;2;2;2;2;1;;4;5;5;5;4;4;5;4;5;4;3;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;(1969,1979];Maule;1;Chile;;;2;3;0;0;0;0;1;1;1;1;1;8.4;2;0.58;0.87;0.6;0.85;2;3;2;3
343152676;1836;13-03-2023;5d 2h:49m;1;1;1;Universidad de Antofagasta;FÍSICA;Chile;Antofagasta;Ciencias naturales, matemáticas y estadística;;;;Ciencias físicas;;;;;(2009,2020];1;(2020,2021];1;1;2;2014;Chile;1;1;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;999;2;;;;;;;;;1;6;1;1;1;2009;;Chile;Valparaíso;3;1;2;;2;;1;1;44;20;20;50;10;;3;4;5;5;2;4;4;5;5;5;5;5;4;5;5;5;4;3;5;4;;4;4;4;3;4;4;4;4;3;4;4;4;4;1;5;1;4;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;5;5;1;5;1;5;1;5;5;1;11;TENGO EL MISMO TRABAJO QUE ANTES DEL DOCTORADO;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;3;;;;;;;;;1;2;1;2;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;2;;2;2;;4;1;0;0;1;1;2;1;2;2;2;2;;1;2;1;2;2;2;2;;5;5;5;5;4;4;5;5;5;5;5;5;1;2;1;2;1;1;2;3;2;1;1;1;2;1;1;(1950,1959];La Araucanía;1;Chile;;;2;1;0;0;2;0;1;1;1;1;1;6.8;2;0.95;0.88;0.71;0.96;3;3;3;3
343152519;13145;15-03-2023;7d 12h:02m;1;1;1;PUCV;Instituto de Literatura y Ciencias del Lenguaje;Chile;Valparaíso;Ciencias sociales, periodismo e información;;Ciencias sociales y ciencias del comportamiento;;;;;;;(2009,2020];1;(2009,2020];2;1;2;2012;Chile;1;1;;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;3;5;999;2;;;;;;;;;1;6;1;1;1;2009;;Chile;Valparaíso;3;1;2;;2;;1;1;44;20;20;50;10;;3;4;5;5;2;4;4;5;5;5;5;5;4;5;5;5;4;3;5;4;;4;4;4;3;4;4;4;4;3;4;4;4;4;1;5;1;4;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;5;5;1;5;1;5;1;5;5;1;11;TENGO EL MISMO TRABAJO QUE ANTES DEL DOCTORADO;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;3;;;;;;;;;1;2;1;2;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;2;;2;2;;4;1;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;4;4;3;3;3;3;3;3;2;2;2;3;1;2;2;2;2;2;2;2;2;1;6;(1979,1989];Metropolitana;1;999;;;2;3;0;0;0;0;1;1;1;1;1;6.8;2;0.89;0.88;0.71;0.96;3;3;3;3
343152827;5370;08-03-2023;0d 4h:10m;1;1;1;PUCV;Instituto de Literatura y Ciencias del Lenguaje;Chile;Valparaíso;Ciencias sociales, periodismo e información;;Ciencias sociales y ciencias del comportamiento;;;;;;;(2009,2020];1;(2009,2020];2;1;2;2012;Chile;1;1;;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;3;5;999;2;;;;;;;;;1;6;1;1;1;2009;;Chile;Valparaíso;3;1;2;;2;;1;1;44;20;20;50;10;;3;4;5;5;2;4;4;5;5;5;5;5;4;5;5;5;4;3;5;4;;4;4;4;3;4;4;4;4;3;4;4;4;4;1;5;1;4;3;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;5;5;1;5;1;5;1;5;5;1;11;TENGO EL MISMO TRABAJO QUE ANTES DEL DOCTORADO;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;3;;;;;;;;;1;2;1;2;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;2;;2;2;;4;1;0;1;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;2;5;3;3;1;1;2;1;2;1;2;3;2;2;2;2;2;2;2;2;1;(1989,1999];Metropolitana;1;Chile;;;2;3;2;1;0;3;1;1;2;1;1;8.4;2;0.89;0.88;0.71;0.96;3;3;3;3
343186557;12645;13-03-2023;4d 5h:37m;1;1;1;Universidad de Talca;Instituto de Química de los Recursos Naturales;Chile;Maule;Ciencias naturales, matemáticas y estadística;;;;Medioambiente;;;;;(2000,2009];1;(2009,2020];2;1;1;2011;Chile;1;9;;5;5;4;2;3;4;5;5;4;4;4;4;5;5;5;4;4;5;2;2;;;;;;;;;1;4;1;1;1;2020;;Chile;Maule;3;1;2;;1;;1;1;44;;100;;;;3;2;3;1;1;2;5;5;5;5;2;5;1;5;1;1;4;1;1;1;;3;2;4;4;1;1;1;1;1;3;3;2;1;2;1;2;4;3;2;;;;;;;;;;;;;;;;;;1;1;2018;2020;Chile;Maule;3;3;2;2;16;4;3;4;1;5;1;5;1;5;5;1;11;Tener el grado de doctor;1;1;1;1;2;2;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;3;;;;;;;;;1;;1;;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;1;;5;2;;4;1;0;0;2;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;4;4;4;4;2;2;1;2;2;1;2;2;2;2;2;2;;2;1;1;(1950,1959];Metropolitana;1;Chile;;;2;1;0;0;0;0;1;1;1;1;1;6.8;2;0.83;0.54;0.64;0.52;3;2;2;2
343237777;11569;10-03-2023;0d 0h:22m;1;1;1;Universidad de Talca;Instituto de Química de los Recursos Naturales;Chile;Maule;Ciencias naturales, matemáticas y estadística;;;;Medioambiente;;;;;(2000,2009];1;(2009,2020];2;1;1;2011;Chile;1;9;;5;5;4;2;3;4;5;5;4;4;4;4;5;5;5;4;4;5;2;2;;;;;;;;;1;4;1;1;1;2020;;Chile;Maule;3;1;2;;1;;1;1;44;;100;;;;3;2;3;1;1;2;5;5;5;5;2;5;1;5;1;1;4;1;1;1;;3;2;4;4;1;1;1;1;1;3;3;2;1;2;1;2;4;3;2;;;;;;;;;;;;;;;;;;1;1;2018;2020;Chile;Maule;3;3;2;2;16;4;3;4;1;5;1;5;1;5;5;1;11;Tener el grado de doctor;1;1;1;1;2;2;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;3;;;;;;;;;1;;1;;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;1;;5;2;;4;1;0;0;1;1;2;2;2;2;2;2;;1;2;2;2;2;2;2;;5;5;5;5;5;4;5;5;5;4;4;4;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;(1959,1969];La Araucanía;1;999;;;2;1;0;0;0;0;2;2;2;2;2;6.8;2;0.83;0.54;0.64;0.52;3;2;2;2
343218621;14392;09-03-2023;0d 0h:48m;1;1;1;Universidad de Talca;Instituto de Química de los Recursos Naturales;Chile;Maule;Ciencias naturales, matemáticas y estadística;;;;Medioambiente;;;;;(2000,2009];1;(2009,2020];2;1;1;2011;Chile;1;9;;5;5;4;2;3;4;5;5;4;4;4;4;5;5;5;4;4;5;2;2;;;;;;;;;1;4;1;1;1;2020;;Chile;Maule;3;1;2;;1;;1;1;44;;100;;;;3;2;3;1;1;2;5;5;5;5;2;5;1;5;1;1;4;1;1;1;;3;2;4;4;1;1;1;1;1;3;3;2;1;2;1;2;4;3;2;;;;;;;;;;;;;;;;;;1;1;2018;2020;Chile;Maule;3;3;2;2;16;4;3;4;1;5;1;5;1;5;5;1;11;Tener el grado de doctor;1;1;1;1;2;2;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;3;;;;;;;;;1;;1;;;;;;;;;;;;;;1;2;2;2;2;2;2;1;2;1;1;;5;2;;4;1;0;0;1;1;2;2;1;2;2;2;;1;2;2;2;2;2;2;;5;5;5;5;5;5;4;5;5;5;4;4;2;1;2;2;1;2;2;2;2;2;2;2;2;1;6;(1969,1979];Metropolitana;1;Chile;;;2;1;0;2;1;0;1;1;1;1;1;6.8;2;0.83;0.54;0.64;0.52;3;2;2;2
