id_1;factor_expansion;EDU_1_4;EDU_5_1;EDU_5_2;EDU_5_3;EDU_5_4;EDU_8_1;EDU_11_1;EDU_12_1;EDU_12_2;EDU_12_3;EDU_12_4;EDU_12_5;EDU_12_6;EDU_12_7;EDU_12_8;EDU_12_9;EDU_12_10;EDU_12_11;EDU_12_12;EDU_12_13;EDU_12_14;EDU_12_15;EDU_12_16;EDU_12_17;EDU_12_18;EDU_12_19;PER_1_1;PER_2_1;EDU_2_1;EDU_7_1
1806;7;Chile;Si;No;Si;No;Jornada parcial;Ingresos por otro tipo de trabajo distinto a docente o de investigación;Buena;Buena;Muy buena;Suficiente;Suficiente;Pobre;Pobre;Muy pobre;Suficiente;Suficiente;Buena;Buena;Buena;Buena;Buena;Buena;Muy pobre;Suficiente;Buena;Femenino;< 35 años;Humanidades;El 2012 o después
346;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Suficiente;Buena;Buena;Muy buena;Suficiente;Pobre;Buena;Buena;Buena;Buena;Muy buena;Suficiente;Buena;Buena;Suficiente;Buena;Buena;Buena;Suficiente;Masculino;< 35 años;Ciencias naturales;El 2012 o después
1299;7;Chile;Si;No;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Pobre;Pobre;Femenino;< 35 años;Ciencias naturales;El 2012 o después
254;8;Otros;Si;No;No;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Muy buena;Suficiente;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Suficiente;Buena;Masculino;35-44 años;Ciencias sociales;El 2012 o después
1281;8;Chile;Si;No;No;No;Jornada completa;Ingresos por trabajo de asistente docente o de investigación;Suficiente;Buena;Muy buena;Muy buena;Buena;Buena;Buena;Pobre;Suficiente;Suficiente;Muy buena;Pobre;Muy buena;Suficiente;Pobre;Pobre;Buena;Pobre;Pobre;Masculino;55-64 años;Ingeniería y tecnología;Antes del 2012
1574;8;Otros;Si;Si;Si;Si;Jornada completa;Otros;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Masculino;55-64 años;Ingeniería y tecnología;Antes del 2012
62;7;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio del Estado de Chile u otra institución nacional;Buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Suficiente;Buena;Pobre;Femenino;35-44 años;Ciencias sociales;El 2012 o después
1343;7;Otros;Si;Si;Si;No;Jornada parcial;Ingresos por trabajo de asistente docente o de investigación;Muy buena;Pobre;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Femenino;45-54 años;Ciencias naturales;Antes del 2012
1083;8;Otros;Si;No;No;No;Jornada completa;Beca o subsidio de una institución extranjera;Buena;Pobre;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Muy buena;Buena;Suficiente;Suficiente;Buena;Suficiente;Pobre;Masculino;35-44 años;Ingeniería y tecnología;Antes del 2012
1361;8;Chile;Si;Si;Si;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Buena;Muy buena;Muy buena;Buena;Buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Buena;Buena;Muy buena;Muy buena;Suficiente;Muy buena;Muy buena;Masculino;55-64 años;Ciencias naturales;Antes del 2012
679;8;Otros;Si;Si;No;No;Jornada completa;Beca o subsidio de una institución extranjera;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Muy buena;Buena;Masculino;45-54 años;Ciencias naturales;Antes del 2012
